,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,price
0,grnvXClj73ufsaG8VDKXWQ,château-le-jardin-woodbridge,Château Le Jardin,https://s3-media1.fl.yelpcdn.com/bphoto/QKjfh-nK4i1c-6vgj5cmEA/o.jpg,False,https://www.yelp.com/biz/ch%C3%A2teau-le-jardin-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,22,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19058512200,+1 905-851-2200,1302.7819918989237,43.7895515,-79.62667876,8440 Highway 27,,,Woodbridge,L4L 1A5,CA,ON,"['8440 Highway 27', 'Woodbridge, ON L4L 1A5', 'Canada']",
1,41xuKlIuZTLu6qTbpqTY-A,the-jewel-event-centre-woodbridge,The Jewel Event Centre,https://s3-media1.fl.yelpcdn.com/bphoto/MniS0PTatG77htkzieiJPw/o.jpg,False,https://www.yelp.com/biz/the-jewel-event-centre-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,4,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]",5.0,[],+19052650919,+1 905-265-0919,1618.425207464314,43.77049,-79.60881,55 Sovereign Court,,,Woodbridge,L4L 8M1,CA,ON,"['55 Sovereign Court', 'Woodbridge, ON L4L 8M1', 'Canada']",
2,45TBoctzPi31IIBkf-gghA,the-arlington-estate-vaughan,The Arlington Estate,https://s3-media3.fl.yelpcdn.com/bphoto/ENxS_0UJKO9zUioj2vixcw/o.jpg,False,https://www.yelp.com/biz/the-arlington-estate-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,1,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",5.0,[],+16474298934,+1 647-429-8934,3683.5492565784407,43.79658,-79.65455,8934 Huntington Road,,,Vaughan,L4H 4X1,CA,ON,"['8934 Huntington Road', 'Vaughan, ON L4H 4X1', 'Canada']",
3,A4ncQUfFS2CEiaj9cMvsgg,digital-x-entertainment-woodbridge,Digital X Entertainment,https://s3-media3.fl.yelpcdn.com/bphoto/uXCOlxjTGyOKZLRtlX_Opw/o.jpg,False,https://www.yelp.com/biz/digital-x-entertainment-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'djs', 'title': 'DJs'}, {'alias': 'photoboothrentals', 'title': 'Photo Booth Rentals'}]",3.5,[],+19056059368,+1 905-605-9368,1684.2801086576185,43.7760604,-79.6282516,111 Zenway Boulevard,Unit 26,,Woodbridge,L4H 3H9,CA,ON,"['111 Zenway Boulevard', 'Unit 26', 'Woodbridge, ON L4H 3H9', 'Canada']",
4,GX7QcRoh93_fq1D_nt2WhQ,universal-event-space-vaughan-2,Universal Event Space,https://s3-media1.fl.yelpcdn.com/bphoto/KfquK9-YazXWKvxHcVR8wA/o.jpg,False,https://www.yelp.com/biz/universal-event-space-vaughan-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,7,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19053268100,+1 905-326-8100,1559.0629782005326,43.775107,-79.625539,6250 Highway 7 W,,,Vaughan,L4H 4G3,CA,ON,"['6250 Highway 7 W', 'Vaughan, ON L4H 4G3', 'Canada']",
5,NrhWoZ1c_GqC-UjPKzSTUQ,da-vinci-banquet-halls-woodbridge,Da Vinci Banquet Halls,https://s3-media3.fl.yelpcdn.com/bphoto/CN9Vr4nIw7Ae28AFgPrW9g/o.jpg,False,https://www.yelp.com/biz/da-vinci-banquet-halls-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",1.0,[],+19058513131,+1 905-851-3131,829.8579452840975,43.7775922,-79.6132743,5732 Highway 7,Unit 33,,Woodbridge,L4L 3A2,CA,ON,"['5732 Highway 7', 'Unit 33', 'Woodbridge, ON L4L 3A2', 'Canada']",
6,41gRLv6cCcllPGDLyrqpVA,embassy-grand-convention-centre-brampton,Embassy Grand Convention Centre,https://s3-media2.fl.yelpcdn.com/bphoto/kq_4blziQ34QtyKw4ebCLQ/o.jpg,False,https://www.yelp.com/biz/embassy-grand-convention-centre-brampton?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,5,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'eventplanning', 'title': 'Party & Event Planning'}]",3.5,[],+19057949588,+1 905-794-9588,4228.211903212155,43.76782,-79.65898,8800 The Gore Road,,,Brampton,L6P 0B1,CA,ON,"['8800 The Gore Road', 'Brampton, ON L6P 0B1', 'Canada']",
7,Q9yjRZFfILATrDc9ukxzZQ,al-fogolar-vaughan,Al Fogolar,https://s3-media2.fl.yelpcdn.com/bphoto/L73QBkqVEmz1eU7gEAGRRg/o.jpg,False,https://www.yelp.com/biz/al-fogolar-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,[],+19058511166,+1 905-851-1166,3590.089461381404,43.76614,-79.5751,7065 Islington Avenue,,,Vaughan,L4L 1V9,CA,ON,"['7065 Islington Avenue', 'Vaughan, ON L4L 1V9', 'Canada']",$$$
8,rcUZWPGBV-QB-jCaZSiHWQ,terrace-banquet-centre-vaughan,Terrace Banquet Centre,https://s3-media2.fl.yelpcdn.com/bphoto/D7sdzYUW47s-eqewi-QTjA/o.jpg,False,https://www.yelp.com/biz/terrace-banquet-centre-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,11,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,[],+19058329550,+1 905-832-9550,8769.426004282932,43.8309743259219,-79.5229739052147,1680 Creditstone Rd,,,Vaughan,L4K 5V6,CA,ON,"['1680 Creditstone Rd', 'Vaughan, ON L4K 5V6', 'Canada']",
9,5frOJEtIhJNqOCd5inLUzw,hampton-inn-by-hilton-brampton-toronto-brampton,Hampton Inn by Hilton Brampton Toronto,https://s3-media4.fl.yelpcdn.com/bphoto/3ZkmojVUKgoLIb_-Z4hQMw/o.jpg,False,https://www.yelp.com/biz/hampton-inn-by-hilton-brampton-toronto-brampton?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,13,"[{'alias': 'hotels', 'title': 'Hotels'}]",4.0,[],+19054884888,+1 905-488-4888,4405.443985463609,43.7659259,-79.6598533,8710 The Gore Road,,,Brampton,L6P 0B1,CA,ON,"['8710 The Gore Road', 'Brampton, ON L6P 0B1', 'Canada']",$$
