,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,QrO_VmwDfdO5NzfmBeNhQw,thats-italian-ristorante-woodbridge-2,That's Italian Ristorante,https://s3-media2.fl.yelpcdn.com/bphoto/bKuctQXR44pLFqI8PodAPQ/o.jpg,False,https://www.yelp.com/biz/thats-italian-ristorante-woodbridge-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,81,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]",4.0,[],$$,+14164825426,+1 416-482-5426,3065.695481445075,43.7822699,-79.57371,2 Tall Grass Trail,Unit 4,,Woodbridge,L4L 3Y9,CA,ON,"['2 Tall Grass Trail', 'Unit 4', 'Woodbridge, ON L4L 3Y9', 'Canada']"
1,4_sZelNo2BoCDIsw0MWWAA,la-fonte-trattoria-woodbridge-2,La Fonte Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/150FeiLHyhLz5L9u7qBkXQ/o.jpg,False,https://www.yelp.com/biz/la-fonte-trattoria-woodbridge-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,9,"[{'alias': 'italian', 'title': 'Italian'}]",5.0,[],$$,+19058511551,+1 905-851-1551,4307.402158878658,43.7667001,-79.5644346,4370 Steeles Avenue W,Unit 27,,Woodbridge,L4L 4Y4,CA,ON,"['4370 Steeles Avenue W', 'Unit 27', 'Woodbridge, ON L4L 4Y4', 'Canada']"
2,-JggJ7bi6F2SP56wUtXHDA,artigiano-ristorante-vaughan,Artigiano Ristorante,https://s3-media2.fl.yelpcdn.com/bphoto/ZbPjCwRbAX1cTODmKNDOPQ/o.jpg,False,https://www.yelp.com/biz/artigiano-ristorante-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,1,"[{'alias': 'italian', 'title': 'Italian'}]",5.0,[],$$$,+19052657888,+1 905-265-7888,4042.571553149984,43.7692604,-79.5671234,40 Hanlan Rd,Unit 39,,Vaughan,L4L 3P6,CA,ON,"['40 Hanlan Rd', 'Unit 39', 'Vaughan, ON L4L 3P6', 'Canada']"
3,Gm_TguXEE55YM1bQQNSwbw,san-antonio-foods-woodbridge,San Antonio Foods,https://s3-media1.fl.yelpcdn.com/bphoto/CwlsWtaVBkcePsQ-bnERZg/o.jpg,False,https://www.yelp.com/biz/san-antonio-foods-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,14,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,[],$$,+19058500550,+1 905-850-0550,1109.1024048648153,43.775,-79.612,5731 Highway 7,Suite 23,,Woodbridge,L4L 9N4,CA,ON,"['5731 Highway 7', 'Suite 23', 'Woodbridge, ON L4L 9N4', 'Canada']"
4,ApVvAROFqpJF7G36t-lX_g,oca-nera-woodbridge,Oca Nera,https://s3-media4.fl.yelpcdn.com/bphoto/Zd5_-ceVmlP1uOe9Y7QaqA/o.jpg,False,https://www.yelp.com/biz/oca-nera-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,18,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,[],$$$,+19052647152,+1 905-264-7152,2471.487676904287,43.79657,-79.58535,8348 Islington Avenue,,,Woodbridge,L4L 1W8,CA,ON,"['8348 Islington Avenue', 'Woodbridge, ON L4L 1W8', 'Canada']"
5,mClrNYcwg8-pUJA2yMJttA,romanos-restaurant-woodbridge,Romano's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/rXOnipTRW8vynH9BTgOCkA/o.jpg,False,https://www.yelp.com/biz/romanos-restaurant-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,34,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'seafood', 'title': 'Seafood'}]",3.5,[],$$,+19058509604,+1 905-850-9604,3388.4680625891815,43.7799950533798,-79.5700986181803,830 Rowntree Dairy Road,,,Woodbridge,L4L 5V3,CA,ON,"['830 Rowntree Dairy Road', 'Woodbridge, ON L4L 5V3', 'Canada']"
6,FQTYjO4Mey7RkHjBq2UpPg,cavallino-wine-bar-woodbridge,Cavallino Wine Bar,https://s3-media1.fl.yelpcdn.com/bphoto/ioRNEOcRo1GwGImJJs2EGg/o.jpg,False,https://www.yelp.com/biz/cavallino-wine-bar-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,11,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,[],$$$,+19058503629,+1 905-850-3629,2088.5725660593703,43.78878,-79.58636,8077 Islington Avenue,,,Woodbridge,L4L 7X7,CA,ON,"['8077 Islington Avenue', 'Woodbridge, ON L4L 7X7', 'Canada']"
7,j7yI3qYRsbGBUv9rShLCaQ,ice-cream-patio-woodbridge,Ice Cream Patio,https://s3-media2.fl.yelpcdn.com/bphoto/sQHX-YFH_1c73fpGpqWH_g/o.jpg,False,https://www.yelp.com/biz/ice-cream-patio-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,34,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.0,[],$$,+19058503302,+1 905-850-3302,1125.9908431208173,43.7767190082912,-79.6036142656119,5451 Highway,Unit 7,,Woodbridge,L4L 0B2,CA,ON,"['5451 Highway', 'Unit 7', 'Woodbridge, ON L4L 0B2', 'Canada']"
8,Q9yjRZFfILATrDc9ukxzZQ,al-fogolar-vaughan,Al Fogolar,https://s3-media2.fl.yelpcdn.com/bphoto/L73QBkqVEmz1eU7gEAGRRg/o.jpg,False,https://www.yelp.com/biz/al-fogolar-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,3,"[{'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,[],$$$,+19058511166,+1 905-851-1166,3590.089461381404,43.76614,-79.5751,7065 Islington Avenue,,,Vaughan,L4L 1V9,CA,ON,"['7065 Islington Avenue', 'Vaughan, ON L4L 1V9', 'Canada']"
9,Cz43OfHfsodN7Dk4SdTt1Q,spigolo-ristorante-woodbridge,Spigolo Ristorante,https://s3-media4.fl.yelpcdn.com/bphoto/ffOuW9xRqlXsYCTe_hUTdA/o.jpg,False,https://www.yelp.com/biz/spigolo-ristorante-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,6,"[{'alias': 'italian', 'title': 'Italian'}]",3.0,[],$$,+19052650007,+1 905-265-0007,3578.9243886494287,43.7841443989318,-79.567172533678,200 Marycroft Avenue,Unit 5,,Woodbridge,L4L 5X9,CA,ON,"['200 Marycroft Avenue', 'Unit 5', 'Woodbridge, ON L4L 5X9', 'Canada']"
