,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,8716XDB7zw_gBfXg0EBZEQ,memphis-bbq-woodbridge,Memphis BBQ,https://s3-media2.fl.yelpcdn.com/bphoto/CbvAHy1VkuP-VoryhVtMJQ/o.jpg,False,https://www.yelp.com/biz/memphis-bbq-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,246,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,[],$$,+19052659003,+1 905-265-9003,2034.1890648646952,43.789337,-79.587131,8074 Islington Avenue,,,Woodbridge,L4L 1W5,CA,ON,"['8074 Islington Avenue', 'Woodbridge, ON L4L 1W5', 'Canada']"
1,nfEvPIzk5t6qMZ0rstY6Yw,tropical-island-caribbean-restaurant-vaughan-2,Tropical Island Caribbean Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/d3AHCILzHDmyKIlHyAmKSQ/o.jpg,False,https://www.yelp.com/biz/tropical-island-caribbean-restaurant-vaughan-2?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,23,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",4.5,[],$$,+19058502211,+1 905-850-2211,1177.2062126066755,43.7744178453531,-79.6128808069127,5731 Highway 7,Unit 2,,Vaughan,L4L 4Y9,CA,ON,"['5731 Highway 7', 'Unit 2', 'Vaughan, ON L4L 4Y9', 'Canada']"
2,F7uDccc_XT5aYamZeSkcZw,sake-sushi-vaughan,Sake Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/1aPKbCdxLhDPJ8OPS1NaQQ/o.jpg,False,https://www.yelp.com/biz/sake-sushi-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,168,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",3.5,[],$$,+19058511168,+1 905-851-1168,1429.4303382667845,43.7732205622217,-79.6189561049015,5875 Hwy 7 W,,,Vaughan,L4L 1T9,CA,ON,"['5875 Hwy 7 W', 'Vaughan, ON L4L 1T9', 'Canada']"
3,mevOvXMnlTLbSl4w8fcG2A,choice-of-the-orient-vaughan,Choice of the Orient,https://s3-media1.fl.yelpcdn.com/bphoto/M4V7e1qAPB0hR_tHxhae4Q/o.jpg,False,https://www.yelp.com/biz/choice-of-the-orient-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,24,"[{'alias': 'chinese', 'title': 'Chinese'}]",4.0,[],$$,+19058508388,+1 905-850-8388,951.0269406800708,43.7764587,-79.6106122,7766 Martin Grove,,,Vaughan,L4L 9S2,CA,ON,"['7766 Martin Grove', 'Vaughan, ON L4L 9S2', 'Canada']"
4,Gm_TguXEE55YM1bQQNSwbw,san-antonio-foods-woodbridge,San Antonio Foods,https://s3-media1.fl.yelpcdn.com/bphoto/CwlsWtaVBkcePsQ-bnERZg/o.jpg,False,https://www.yelp.com/biz/san-antonio-foods-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,14,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,[],$$,+19058500550,+1 905-850-0550,1109.1024048648153,43.775,-79.612,5731 Highway 7,Suite 23,,Woodbridge,L4L 9N4,CA,ON,"['5731 Highway 7', 'Suite 23', 'Woodbridge, ON L4L 9N4', 'Canada']"
5,YON-YB8Eu5MCEQrAC5BYDw,fionn-maccools-irish-pub-vaughan,Fionn MacCool's Irish Pub,https://s3-media2.fl.yelpcdn.com/bphoto/kJqB7Jje2pVX2Kt_9t40Pg/o.jpg,False,https://www.yelp.com/biz/fionn-maccools-irish-pub-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,50,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",3.5,[],$$,+19052642922,+1 905-264-2922,1469.7449149321913,43.7742962400195,-79.6225329755293,6110 Hwy 7,,,Vaughan,L4H 0R2,CA,ON,"['6110 Hwy 7', 'Vaughan, ON L4H 0R2', 'Canada']"
6,yrtHT-84h0dg7YyT5nE7pQ,osteria-berto-gourmet-wraps-vaughan,Osteria Berto Gourmet Wraps,https://s3-media2.fl.yelpcdn.com/bphoto/PfCY0DBqMtAyWKiZFSGCXQ/o.jpg,False,https://www.yelp.com/biz/osteria-berto-gourmet-wraps-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,24,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,[],$$,+19052642177,+1 905-264-2177,1730.5650991554894,43.773212692095,-79.6258592605591,6150 Highway 7,Unit 1,,Vaughan,L4H 0R2,CA,ON,"['6150 Highway 7', 'Unit 1', 'Vaughan, ON L4H 0R2', 'Canada']"
7,j7yI3qYRsbGBUv9rShLCaQ,ice-cream-patio-woodbridge,Ice Cream Patio,https://s3-media2.fl.yelpcdn.com/bphoto/sQHX-YFH_1c73fpGpqWH_g/o.jpg,False,https://www.yelp.com/biz/ice-cream-patio-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,34,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.0,[],$$,+19058503302,+1 905-850-3302,1125.9908431208173,43.7767190082912,-79.6036142656119,5451 Highway,Unit 7,,Woodbridge,L4L 0B2,CA,ON,"['5451 Highway', 'Unit 7', 'Woodbridge, ON L4L 0B2', 'Canada']"
8,chjcBo4VEXBuiD11Or5Wbw,akita-sushi-vaughan,Akita Sushi,https://s3-media3.fl.yelpcdn.com/bphoto/sFFx9V5Vb39-BCasPkuCWw/o.jpg,False,https://www.yelp.com/biz/akita-sushi-vaughan?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,58,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",2.5,[],$$,+19058569988,+1 905-856-9988,1083.5688640178234,43.7769996,-79.6039799,5451 Highway 7,,,Vaughan,L4L 0B2,CA,ON,"['5451 Highway 7', 'Vaughan, ON L4L 0B2', 'Canada']"
9,FQTYjO4Mey7RkHjBq2UpPg,cavallino-wine-bar-woodbridge,Cavallino Wine Bar,https://s3-media1.fl.yelpcdn.com/bphoto/ioRNEOcRo1GwGImJJs2EGg/o.jpg,False,https://www.yelp.com/biz/cavallino-wine-bar-woodbridge?adjust_creative=KQ8EiN71xGv5H_kmPWQLiw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=KQ8EiN71xGv5H_kmPWQLiw,11,"[{'alias': 'italian', 'title': 'Italian'}]",3.5,[],$$$,+19058503629,+1 905-850-3629,2088.5725660593703,43.78878,-79.58636,8077 Islington Avenue,,,Woodbridge,L4L 7X7,CA,ON,"['8077 Islington Avenue', 'Woodbridge, ON L4L 7X7', 'Canada']"
