"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments revenue","Dollars","81","millions","6","v62425528","1.1.1.1","878744","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments revenue","Dollars","81","millions","6","v62425528","1.1.1.1","935804","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments revenue","Dollars","81","millions","6","v62425528","1.1.1.1","943200","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments revenue","Dollars","81","millions","6","v62425528","1.1.1.1","1007808","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments revenue","Dollars","81","millions","6","v62425528","1.1.1.1","984488","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on incomes","Dollars","81","millions","6","v62425529","1.1.1.2","367136","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on incomes","Dollars","81","millions","6","v62425529","1.1.1.2","385004","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on incomes","Dollars","81","millions","6","v62425529","1.1.1.2","387344","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on incomes","Dollars","81","millions","6","v62425529","1.1.1.2","396912","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","Taxes on incomes","Dollars","81","millions","6","v62425529","1.1.1.2","405636","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425530","1.1.1.3","268124","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425530","1.1.1.3","282476","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425530","1.1.1.3","282400","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From households","Dollars","81","millions","6","v62425530","1.1.1.3","287604","","","","0"
